feature,Estimate_group,pvalue,fdr,fold_change,log2FC,method,vs
Vps54,Group,0.107,0.318,1.1633,0.2182,DESeq2,DMSO vs T4400
Vps72,Group,0.9911,0.9958,0.9995,-0.0007,DESeq2,DMSO vs T4400
Vps8,Group,0.0206,0.1135,1.1515,0.2035,DESeq2,DMSO vs T4400
Vps9d1,Group,0.2025,0.4658,0.9302,-0.1044,DESeq2,DMSO vs T4400
Vrk1,Group,0.0385,0.1702,0.8251,-0.2774,DESeq2,DMSO vs T4400
Vrk2,Group,0.3126,0.5905,0.9249,-0.1126,DESeq2,DMSO vs T4400
Vrk3,Group,0.0507,0.2022,1.1255,0.1706,DESeq2,DMSO vs T4400
Vsig10,Group,0.4826,0.7308,1.0491,0.0692,DESeq2,DMSO vs T4400
Vsig10l,Group,0.0139,0.0882,1.6181,0.6943,DESeq2,DMSO vs T4400
Vsig8,Group,0.6115,0.8179,1.4234,0.5094,DESeq2,DMSO vs T4400
Vsnl1,Group,0.2906,0.569,1.8666,0.9004,DESeq2,DMSO vs T4400
Vsx2,Group,0.8567,0.9473,1.3925,0.4777,DESeq2,DMSO vs T4400
Vta1,Group,0.6917,0.8598,1.0194,0.0277,DESeq2,DMSO vs T4400
Vtcn1,Group,0.3243,0.6029,1.6918,0.7586,DESeq2,DMSO vs T4400
Vti1a,Group,0.0373,0.1668,1.132,0.1789,DESeq2,DMSO vs T4400
Vti1b,Group,0.3893,0.6582,1.0371,0.0526,DESeq2,DMSO vs T4400
Vtn,Group,0.3031,0.5822,2.5161,1.3312,DESeq2,DMSO vs T4400
Vwa1,Group,0.0522,0.2058,1.1424,0.1921,DESeq2,DMSO vs T4400
Vwa2,Group,0.7893,0.9148,0.7433,-0.428,DESeq2,DMSO vs T4400
Vwa3a,Group,0.2515,0.5276,0.3556,-1.4915,DESeq2,DMSO vs T4400
Vwa5a,Group,0.0047,0.0437,1.1486,0.1998,DESeq2,DMSO vs T4400
Vwa5b2,Group,0.8076,0.9265,0.8602,-0.2173,DESeq2,DMSO vs T4400
Vwa7,Group,0.6844,0.8563,1.6388,0.7127,DESeq2,DMSO vs T4400
Vwa8,Group,0.0776,0.2615,1.0904,0.1249,DESeq2,DMSO vs T4400
Vwa9,Group,0.3208,0.5997,0.9442,-0.0828,DESeq2,DMSO vs T4400
Vwc2l,Group,0.8582,0.9473,1.3879,0.4729,DESeq2,DMSO vs T4400
Vwce,Group,0.5284,0.7606,1.6339,0.7083,DESeq2,DMSO vs T4400
Vwde,Group,0.3318,0.6087,0.195,-2.3583,DESeq2,DMSO vs T4400
Vwf,Group,0.0032,0.0346,1.6192,0.6953,DESeq2,DMSO vs T4400
Wac,Group,0.0129,0.0842,1.1625,0.2173,DESeq2,DMSO vs T4400
Wapal,Group,0.749,0.8914,1.0398,0.0564,DESeq2,DMSO vs T4400
Wars,Group,0.08,0.2662,1.1183,0.1613,DESeq2,DMSO vs T4400
Wars2,Group,0.8856,0.9558,1.0116,0.0166,DESeq2,DMSO vs T4400
Was,Group,0.3782,0.6482,0.8094,-0.3051,DESeq2,DMSO vs T4400
Wasf1,Group,0.0029,0.0321,0.7897,-0.3405,DESeq2,DMSO vs T4400
Wasf2,Group,0.0044,0.042,0.8742,-0.194,DESeq2,DMSO vs T4400
Wash1,Group,0.2807,0.5585,1.0761,0.1059,DESeq2,DMSO vs T4400
Wasl,Group,0.168,0.417,1.0847,0.1173,DESeq2,DMSO vs T4400
Wbp1,Group,0.0116,0.0779,0.8667,-0.2064,DESeq2,DMSO vs T4400
Wbp11,Group,0.1467,0.3836,0.944,-0.0831,DESeq2,DMSO vs T4400
Wbp1l,Group,0.0174,0.1019,1.1408,0.19,DESeq2,DMSO vs T4400
Wbp2,Group,0.0358,0.1629,1.1588,0.2126,DESeq2,DMSO vs T4400
Wbp4,Group,0.3014,0.5805,1.0909,0.1256,DESeq2,DMSO vs T4400
Wbp5,Group,0.8061,0.9256,1.0103,0.0148,DESeq2,DMSO vs T4400
Wbscr16,Group,0.3594,0.6314,0.9135,-0.1305,DESeq2,DMSO vs T4400
Wbscr22,Group,0.1076,0.3191,0.9017,-0.1493,DESeq2,DMSO vs T4400
Wbscr27,Group,0,0.0017,1.4755,0.5612,DESeq2,DMSO vs T4400
Wdfy1,Group,0.0099,0.0699,1.1048,0.1437,DESeq2,DMSO vs T4400
Wdfy2,Group,0.6552,0.8442,0.9593,-0.06,DESeq2,DMSO vs T4400
Wdfy3,Group,0.0277,0.1376,1.1463,0.1969,DESeq2,DMSO vs T4400
Wdfy4,Group,0.0256,0.1307,6.8206,2.7699,DESeq2,DMSO vs T4400
Wdhd1,Group,0.0044,0.0419,0.6573,-0.6054,DESeq2,DMSO vs T4400
Wdpcp,Group,0.4674,0.7185,1.0407,0.0576,DESeq2,DMSO vs T4400
Wdr1,Group,0.0003,0.008,0.8097,-0.3045,DESeq2,DMSO vs T4400
Wdr11,Group,0.1627,0.4087,1.0611,0.0856,DESeq2,DMSO vs T4400
Wdr12,Group,0.1295,0.3568,0.8758,-0.1913,DESeq2,DMSO vs T4400
Wdr13,Group,0.0234,0.1233,1.1001,0.1376,DESeq2,DMSO vs T4400
Wdr17,Group,0.4487,0.7043,2.0891,1.0629,DESeq2,DMSO vs T4400
Wdr18,Group,0.0231,0.1223,0.8691,-0.2025,DESeq2,DMSO vs T4400
Wdr19,Group,0.2561,0.5329,1.0656,0.0916,DESeq2,DMSO vs T4400
Wdr20,Group,0.7567,0.8951,0.9796,-0.0298,DESeq2,DMSO vs T4400
Wdr24,Group,0.0714,0.2493,1.0969,0.1335,DESeq2,DMSO vs T4400
Wdr25,Group,0.6239,0.8252,1.0361,0.0511,DESeq2,DMSO vs T4400
Wdr26,Group,0.4326,0.6921,1.0532,0.0748,DESeq2,DMSO vs T4400
Wdr27,Group,0.8555,0.9473,0.9406,-0.0884,DESeq2,DMSO vs T4400
Wdr3,Group,0.9937,0.9969,0.9996,-0.0006,DESeq2,DMSO vs T4400
Wdr31,Group,0.6188,0.8213,0.9437,-0.0836,DESeq2,DMSO vs T4400
Wdr33,Group,0.2516,0.5276,0.9572,-0.0631,DESeq2,DMSO vs T4400
Wdr34,Group,0.9091,0.9647,1.0068,0.0098,DESeq2,DMSO vs T4400
Wdr35,Group,0.8435,0.9445,0.9914,-0.0125,DESeq2,DMSO vs T4400
Wdr36,Group,0.0906,0.2876,1.0639,0.0894,DESeq2,DMSO vs T4400
Wdr37,Group,0.2963,0.5745,1.07,0.0976,DESeq2,DMSO vs T4400
Wdr38,Group,0.493,0.7368,0.3701,-1.434,DESeq2,DMSO vs T4400
Wdr4,Group,0.5701,0.789,1.0415,0.0587,DESeq2,DMSO vs T4400
Wdr41,Group,0.3144,0.5925,0.9543,-0.0674,DESeq2,DMSO vs T4400
Wdr43,Group,0.4261,0.6878,1.0555,0.078,DESeq2,DMSO vs T4400
Wdr44,Group,0.3314,0.6087,1.0788,0.1094,DESeq2,DMSO vs T4400
Wdr45,Group,0.0061,0.0515,1.2467,0.3182,DESeq2,DMSO vs T4400
Wdr45b,Group,0.0199,0.1111,0.9064,-0.1418,DESeq2,DMSO vs T4400
Wdr46,Group,0.2504,0.5262,0.9059,-0.1427,DESeq2,DMSO vs T4400
Wdr47,Group,0.6892,0.8587,1.0266,0.0379,DESeq2,DMSO vs T4400
Wdr48,Group,0.3967,0.6649,1.0395,0.0558,DESeq2,DMSO vs T4400
Wdr5,Group,0.0246,0.1275,0.9181,-0.1233,DESeq2,DMSO vs T4400
Wdr53,Group,0.4398,0.6967,1.0502,0.0707,DESeq2,DMSO vs T4400
Wdr54,Group,0.0072,0.0572,1.2689,0.3435,DESeq2,DMSO vs T4400
Wdr55,Group,0.4963,0.7389,0.9609,-0.0575,DESeq2,DMSO vs T4400
Wdr59,Group,0.3472,0.6235,1.0546,0.0766,DESeq2,DMSO vs T4400
Wdr5b,Group,0.0242,0.1259,0.7484,-0.418,DESeq2,DMSO vs T4400
Wdr6,Group,4.4506e-06,0.0008,0.786,-0.3475,DESeq2,DMSO vs T4400
Wdr60,Group,0.172,0.4232,1.0983,0.1353,DESeq2,DMSO vs T4400
Wdr61,Group,0.6687,0.8496,0.9741,-0.0378,DESeq2,DMSO vs T4400
Wdr62,Group,0.1092,0.3222,0.844,-0.2447,DESeq2,DMSO vs T4400
Wdr63,Group,0.8172,0.9306,1.1262,0.1714,DESeq2,DMSO vs T4400
Wdr7,Group,0.001,0.0166,1.2503,0.3223,DESeq2,DMSO vs T4400
Wdr70,Group,0.6796,0.8552,0.9755,-0.0358,DESeq2,DMSO vs T4400
Wdr72,Group,0.6914,0.8598,1.7144,0.7777,DESeq2,DMSO vs T4400
Wdr73,Group,0.4712,0.7218,1.0436,0.0616,DESeq2,DMSO vs T4400
Wdr74,Group,0.3968,0.6649,0.9426,-0.0854,DESeq2,DMSO vs T4400
Wdr75,Group,0.7709,0.9034,0.98,-0.0291,DESeq2,DMSO vs T4400
Wdr76,Group,0.0384,0.17,0.8198,-0.2867,DESeq2,DMSO vs T4400
Wdr77,Group,0.0183,0.105,0.8429,-0.2465,DESeq2,DMSO vs T4400
Wdr78,Group,0.5248,0.7585,1.1689,0.2252,DESeq2,DMSO vs T4400
Wdr8,Group,0.9179,0.9679,1.0055,0.0079,DESeq2,DMSO vs T4400
Wdr81,Group,0.0031,0.0339,1.321,0.4016,DESeq2,DMSO vs T4400
Wdr82,Group,0.0689,0.244,0.9026,-0.1479,DESeq2,DMSO vs T4400
Wdr83,Group,0.0283,0.1399,0.876,-0.1911,DESeq2,DMSO vs T4400
Wdr83os,Group,0.0291,0.1418,0.8643,-0.2104,DESeq2,DMSO vs T4400
Wdr89,Group,0.2355,0.5082,0.8993,-0.1532,DESeq2,DMSO vs T4400
Wdr90,Group,0.059,0.2214,0.8112,-0.3018,DESeq2,DMSO vs T4400
Wdr91,Group,0.5743,0.7928,1.0344,0.0487,DESeq2,DMSO vs T4400
Wdr92,Group,0.8327,0.9387,0.9847,-0.0223,DESeq2,DMSO vs T4400
Wdr93,Group,0.5044,0.745,1.4087,0.4944,DESeq2,DMSO vs T4400
Wdr95,Group,0.348,0.624,0.645,-0.6325,DESeq2,DMSO vs T4400
Wdsub1,Group,0.0246,0.1275,1.1817,0.2408,DESeq2,DMSO vs T4400
Wdtc1,Group,0.4645,0.7163,0.9693,-0.045,DESeq2,DMSO vs T4400
Wdyhv1,Group,0.0941,0.2947,0.9376,-0.093,DESeq2,DMSO vs T4400
Wee1,Group,0.3894,0.6582,0.9364,-0.0948,DESeq2,DMSO vs T4400
Wfdc1,Group,0.2262,0.4966,0.6806,-0.5552,DESeq2,DMSO vs T4400
Wfdc13,Group,0.5791,0.796,1.3764,0.4609,DESeq2,DMSO vs T4400
Wfdc17,Group,0.0427,0.1809,15.0414,3.9109,DESeq2,DMSO vs T4400
Wfdc18,Group,0.0741,0.2547,3.8327,1.9384,DESeq2,DMSO vs T4400
Wfdc2,Group,0.0884,0.2831,2.3524,1.2342,DESeq2,DMSO vs T4400
Wfdc21,Group,0,0.0016,5.4269,2.4401,DESeq2,DMSO vs T4400
Wfdc3,Group,0.637,0.8346,0.5479,-0.8681,DESeq2,DMSO vs T4400
Wfikkn1,Group,0.4886,0.7348,1.1579,0.2115,DESeq2,DMSO vs T4400
Wfikkn2,Group,0.4535,0.7082,1.3781,0.4627,DESeq2,DMSO vs T4400
Wfs1,Group,0.088,0.2825,1.1259,0.171,DESeq2,DMSO vs T4400
Whamm,Group,0.0056,0.0489,1.2766,0.3523,DESeq2,DMSO vs T4400
Whrn,Group,0.0709,0.2484,0.8868,-0.1733,DESeq2,DMSO vs T4400
Whsc1,Group,0.0232,0.1227,0.8077,-0.3081,DESeq2,DMSO vs T4400
Whsc1l1,Group,0.0311,0.148,1.1361,0.1841,DESeq2,DMSO vs T4400
Wibg,Group,0.0677,0.2413,0.8841,-0.1777,DESeq2,DMSO vs T4400
Wif1,Group,0.1627,0.4087,0.5417,-0.8843,DESeq2,DMSO vs T4400
Wipf1,Group,0.4745,0.7239,1.0298,0.0423,DESeq2,DMSO vs T4400
Wipf2,Group,0.3975,0.6656,1.0462,0.0652,DESeq2,DMSO vs T4400
Wipf3,Group,0.09,0.2865,0.6631,-0.5927,DESeq2,DMSO vs T4400
Wipi1,Group,0.7771,0.9074,1.0137,0.0196,DESeq2,DMSO vs T4400
Wipi2,Group,0.1858,0.4433,1.0953,0.1313,DESeq2,DMSO vs T4400
Wisp1,Group,0.0798,0.2657,0.8342,-0.2615,DESeq2,DMSO vs T4400
Wisp2,Group,0.0028,0.0316,0.7674,-0.3819,DESeq2,DMSO vs T4400
Wisp3,Group,0.9507,0.9784,0.9648,-0.0517,DESeq2,DMSO vs T4400
Wiz,Group,0.6049,0.813,0.9722,-0.0407,DESeq2,DMSO vs T4400
Wls,Group,0.0589,0.2212,0.8997,-0.1524,DESeq2,DMSO vs T4400
Wnk1,Group,0.2383,0.5116,1.0933,0.1286,DESeq2,DMSO vs T4400
Wnk3,Group,0.4375,0.6953,1.5425,0.6253,DESeq2,DMSO vs T4400
Wnk4,Group,0.7301,0.88,1.1646,0.2198,DESeq2,DMSO vs T4400
Wnt1,Group,0.4937,0.737,0.515,-0.9574,DESeq2,DMSO vs T4400
Wnt10a,Group,0,0.0014,0.5722,-0.8053,DESeq2,DMSO vs T4400
Wnt10b,Group,7.4708e-07,0.0003,1.5484,0.6308,DESeq2,DMSO vs T4400
Wnt11,Group,0.0108,0.0745,0.6046,-0.726,DESeq2,DMSO vs T4400
Wnt16,Group,0.2739,0.5526,2.3725,1.2464,DESeq2,DMSO vs T4400
Wnt2b,Group,0.2656,0.5436,1.3396,0.4218,DESeq2,DMSO vs T4400
Wnt3,Group,0.3307,0.6085,0.1944,-2.3628,DESeq2,DMSO vs T4400
Wnt4,Group,0.0624,0.2297,0.6781,-0.5605,DESeq2,DMSO vs T4400
Wnt5a,Group,0.7251,0.8778,1.0637,0.0891,DESeq2,DMSO vs T4400
Wnt5b,Group,0.1193,0.3394,1.1741,0.2315,DESeq2,DMSO vs T4400
Wnt6,Group,1.0521e-07,0.0001,0.5021,-0.9939,DESeq2,DMSO vs T4400
Wnt7b,Group,0.3671,0.6378,1.2489,0.3207,DESeq2,DMSO vs T4400
Wnt9a,Group,0.0067,0.0546,0.6673,-0.5836,DESeq2,DMSO vs T4400
Wrap53,Group,0.5001,0.7426,0.9587,-0.0609,DESeq2,DMSO vs T4400
Wrb,Group,0.8718,0.9509,0.9914,-0.0125,DESeq2,DMSO vs T4400
Wrn,Group,0.8145,0.9294,1.0257,0.0365,DESeq2,DMSO vs T4400
Wrnip1,Group,0.1284,0.3551,0.9069,-0.141,DESeq2,DMSO vs T4400
Wsb1,Group,0.3017,0.5808,1.0819,0.1135,DESeq2,DMSO vs T4400
Wsb2,Group,0.821,0.9323,0.9912,-0.0127,DESeq2,DMSO vs T4400
Wscd2,Group,0.0781,0.2623,0.3492,-1.5177,DESeq2,DMSO vs T4400
Wt1,Group,0.0124,0.0818,2.2646,1.1793,DESeq2,DMSO vs T4400
Wtap,Group,0.2623,0.5406,1.0441,0.0622,DESeq2,DMSO vs T4400
Wtip,Group,0.3354,0.6115,0.9545,-0.0671,DESeq2,DMSO vs T4400
Wwc1,Group,0.0059,0.0504,1.8592,0.8946,DESeq2,DMSO vs T4400
Wwc2,Group,0.6435,0.8391,1.0312,0.0444,DESeq2,DMSO vs T4400
Wwox,Group,0.3647,0.6356,1.0603,0.0844,DESeq2,DMSO vs T4400
Wwp1,Group,0.0494,0.1992,1.2189,0.2856,DESeq2,DMSO vs T4400
Wwp2,Group,0.3419,0.6182,1.0526,0.074,DESeq2,DMSO vs T4400
Wwtr1,Group,0.6794,0.8552,0.9732,-0.0392,DESeq2,DMSO vs T4400
Xab2,Group,0.3559,0.6305,0.953,-0.0694,DESeq2,DMSO vs T4400
Xaf1,Group,0.2618,0.5406,1.1459,0.1965,DESeq2,DMSO vs T4400
Xbp1,Group,0.0735,0.2537,1.1202,0.1637,DESeq2,DMSO vs T4400
Xcr1,Group,0.9572,0.9805,0.9855,-0.0211,DESeq2,DMSO vs T4400
Xdh,Group,0.0007,0.013,2.813,1.4921,DESeq2,DMSO vs T4400
Xiap,Group,0.6558,0.8443,1.0608,0.0851,DESeq2,DMSO vs T4400
Xirp1,Group,0.9757,0.9881,0.9973,-0.0039,DESeq2,DMSO vs T4400
Xirp2,Group,0.6663,0.849,1.1327,0.1797,DESeq2,DMSO vs T4400
Xist,Group,0.3685,0.6393,1.1467,0.1974,DESeq2,DMSO vs T4400
Xk,Group,0.748,0.8911,1.0482,0.0679,DESeq2,DMSO vs T4400
Xkr5,Group,0.0002,0.0066,0.4816,-1.0541,DESeq2,DMSO vs T4400
Xkr6,Group,0.5114,0.7496,1.1712,0.228,DESeq2,DMSO vs T4400
Xkr8,Group,0.2557,0.5324,0.9118,-0.1333,DESeq2,DMSO vs T4400
Xkr9,Group,0.722,0.8759,0.5232,-0.9346,DESeq2,DMSO vs T4400
Xkrx,Group,0.789,0.9148,0.8867,-0.1734,DESeq2,DMSO vs T4400
Xlr,Group,0.9592,0.9808,0.9962,-0.0055,DESeq2,DMSO vs T4400
Xlr3a,Group,0.0761,0.2585,1.2581,0.3313,DESeq2,DMSO vs T4400
Xlr3b,Group,0.1395,0.3727,1.6499,0.7224,DESeq2,DMSO vs T4400
Xlr3c,Group,0.6933,0.8606,0.8741,-0.1942,DESeq2,DMSO vs T4400
Xlr4a,Group,0.4306,0.6911,0.3266,-1.6144,DESeq2,DMSO vs T4400
Xndc1,Group,0.2421,0.5172,0.8612,-0.2156,DESeq2,DMSO vs T4400
Xpa,Group,0.0003,0.0085,1.2199,0.2868,DESeq2,DMSO vs T4400
Xpc,Group,0.0364,0.1646,1.154,0.2067,DESeq2,DMSO vs T4400
Xpnpep1,Group,0.0332,0.1546,0.9245,-0.1133,DESeq2,DMSO vs T4400
Xpnpep2,Group,0.1015,0.3089,0.8053,-0.3124,DESeq2,DMSO vs T4400
Xpnpep3,Group,0.6506,0.8427,1.0259,0.0368,DESeq2,DMSO vs T4400
Xpo1,Group,0.3414,0.6176,0.9082,-0.139,DESeq2,DMSO vs T4400
Xpo4,Group,0.7902,0.9153,1.0292,0.0416,DESeq2,DMSO vs T4400
Xpo5,Group,0.2686,0.5467,0.9212,-0.1184,DESeq2,DMSO vs T4400
Xpo6,Group,0.2207,0.4898,1.0559,0.0784,DESeq2,DMSO vs T4400
Xpo7,Group,0.9978,0.9989,1.0001,0.0001,DESeq2,DMSO vs T4400
Xpot,Group,0,0.0017,1.2068,0.2712,DESeq2,DMSO vs T4400
Xpr1,Group,0.1838,0.4406,1.1424,0.1921,DESeq2,DMSO vs T4400
Xrcc1,Group,0.0116,0.0783,0.8816,-0.1818,DESeq2,DMSO vs T4400
Xrcc2,Group,0.0065,0.0533,0.7745,-0.3686,DESeq2,DMSO vs T4400
Xrcc3,Group,0.5746,0.7928,0.9546,-0.067,DESeq2,DMSO vs T4400
Xrcc4,Group,0.0148,0.0915,1.1587,0.2125,DESeq2,DMSO vs T4400
Xrcc5,Group,0.0007,0.0135,1.1904,0.2515,DESeq2,DMSO vs T4400
Xrcc6,Group,0.0308,0.1474,0.8737,-0.1947,DESeq2,DMSO vs T4400
Xrcc6bp1,Group,0.7265,0.8784,0.9697,-0.0444,DESeq2,DMSO vs T4400
Xrn1,Group,0.6675,0.849,1.0729,0.1015,DESeq2,DMSO vs T4400
Xrn2,Group,0.3848,0.6541,1.0408,0.0577,DESeq2,DMSO vs T4400
Xrra1,Group,0.0264,0.1335,0.5965,-0.7455,DESeq2,DMSO vs T4400
Xxylt1,Group,0.0318,0.1501,0.8768,-0.1897,DESeq2,DMSO vs T4400
Xylb,Group,0.0119,0.0796,1.3639,0.4477,DESeq2,DMSO vs T4400
Xylt2,Group,0.6323,0.8318,0.9755,-0.0358,DESeq2,DMSO vs T4400
Yae1d1,Group,0.6965,0.8622,1.02,0.0286,DESeq2,DMSO vs T4400
Yaf2,Group,0.2346,0.5069,0.9143,-0.1293,DESeq2,DMSO vs T4400
Yap1,Group,0.2955,0.574,0.9505,-0.0732,DESeq2,DMSO vs T4400
Yars,Group,0.8749,0.9519,1.0104,0.0149,DESeq2,DMSO vs T4400
Yars2,Group,0.2146,0.482,0.9084,-0.1387,DESeq2,DMSO vs T4400
Ybey,Group,0.5226,0.7573,0.947,-0.0786,DESeq2,DMSO vs T4400
Ybx1,Group,0.0102,0.0715,0.8519,-0.2312,DESeq2,DMSO vs T4400
Ybx2,Group,0.5156,0.7519,0.5139,-0.9605,DESeq2,DMSO vs T4400
Ybx3,Group,0.1871,0.4448,1.0751,0.1044,DESeq2,DMSO vs T4400
Ydjc,Group,0.0179,0.1039,0.7807,-0.3571,DESeq2,DMSO vs T4400
Yeats2,Group,0.394,0.6626,0.9603,-0.0585,DESeq2,DMSO vs T4400
Yeats4,Group,0.5346,0.7638,1.0264,0.0376,DESeq2,DMSO vs T4400
Yes1,Group,0.4315,0.6913,1.0944,0.1301,DESeq2,DMSO vs T4400
Yif1a,Group,0.8217,0.9327,0.99,-0.0144,DESeq2,DMSO vs T4400
Yif1b,Group,0.5681,0.7876,1.0226,0.0322,DESeq2,DMSO vs T4400
Yipf1,Group,0.9638,0.9829,1.0029,0.0041,DESeq2,DMSO vs T4400
Yipf2,Group,0.1893,0.4478,1.0964,0.1327,DESeq2,DMSO vs T4400
Yipf3,Group,0.4679,0.7188,1.0379,0.0536,DESeq2,DMSO vs T4400
Yipf4,Group,0.0116,0.0783,1.1403,0.1894,DESeq2,DMSO vs T4400
Yipf5,Group,0.7132,0.8734,1.0132,0.019,DESeq2,DMSO vs T4400
Yipf6,Group,0.0796,0.2651,1.1295,0.1757,DESeq2,DMSO vs T4400
Yipf7,Group,0.0945,0.2957,1.3177,0.3981,DESeq2,DMSO vs T4400
Ykt6,Group,0.004,0.0396,0.8399,-0.2517,DESeq2,DMSO vs T4400
Ylpm1,Group,0.5484,0.7741,1.0407,0.0575,DESeq2,DMSO vs T4400
Yme1l1,Group,0.875,0.9519,0.9882,-0.0172,DESeq2,DMSO vs T4400
Yod1,Group,0.4057,0.6728,1.1165,0.159,DESeq2,DMSO vs T4400
Ypel1,Group,0.357,0.6305,1.0887,0.1227,DESeq2,DMSO vs T4400
Ypel2,Group,0.0003,0.0086,1.3462,0.4289,DESeq2,DMSO vs T4400
Ypel3,Group,0.0171,0.1008,1.1628,0.2175,DESeq2,DMSO vs T4400
Ypel4,Group,0.0025,0.0299,1.4774,0.5631,DESeq2,DMSO vs T4400
Ypel5,Group,0.2112,0.4772,1.0722,0.1005,DESeq2,DMSO vs T4400
Yrdc,Group,0.8111,0.9282,0.9855,-0.0211,DESeq2,DMSO vs T4400
Ythdc1,Group,0.2942,0.5727,1.0742,0.1032,DESeq2,DMSO vs T4400
Ythdc2,Group,0.6214,0.8232,1.0669,0.0934,DESeq2,DMSO vs T4400
Ythdf1,Group,0.7641,0.8991,0.9884,-0.0168,DESeq2,DMSO vs T4400
Ythdf2,Group,0.9233,0.969,0.9959,-0.006,DESeq2,DMSO vs T4400
Ythdf3,Group,0.2801,0.5583,1.1264,0.1717,DESeq2,DMSO vs T4400
Ywhab,Group,0.1586,0.4029,0.9379,-0.0925,DESeq2,DMSO vs T4400
Ywhae,Group,0.0657,0.2373,0.9086,-0.1383,DESeq2,DMSO vs T4400
Ywhag,Group,0.9226,0.9687,0.9958,-0.0061,DESeq2,DMSO vs T4400
Ywhah,Group,0.1895,0.4479,0.8986,-0.1543,DESeq2,DMSO vs T4400
Ywhaq,Group,0.0238,0.1246,0.832,-0.2654,DESeq2,DMSO vs T4400
Ywhaz,Group,0.0957,0.2983,0.8917,-0.1653,DESeq2,DMSO vs T4400
Yy1,Group,0.4045,0.6721,1.0315,0.0448,DESeq2,DMSO vs T4400
Yy2,Group,0.6462,0.8406,0.9538,-0.0683,DESeq2,DMSO vs T4400
Zadh2,Group,0.0108,0.0744,1.3373,0.4193,DESeq2,DMSO vs T4400
Zak,Group,0.3941,0.6626,0.9458,-0.0805,DESeq2,DMSO vs T4400
Zan,Group,0.5788,0.7958,1.6852,0.7529,DESeq2,DMSO vs T4400
Zap70,Group,0.2196,0.4882,0.7392,-0.436,DESeq2,DMSO vs T4400
Zbed3,Group,0.1409,0.3747,0.9267,-0.1098,DESeq2,DMSO vs T4400
Zbed4,Group,0.376,0.6464,0.9216,-0.1177,DESeq2,DMSO vs T4400
Zbed5,Group,0.2104,0.4762,0.8999,-0.1522,DESeq2,DMSO vs T4400
Zbed6,Group,0.4707,0.7214,1.1238,0.1684,DESeq2,DMSO vs T4400
Zbp1,Group,0.1578,0.4016,1.2923,0.37,DESeq2,DMSO vs T4400
Zbtb1,Group,0.4206,0.6836,1.072,0.1003,DESeq2,DMSO vs T4400
Zbtb10,Group,0.0286,0.1405,1.2964,0.3746,DESeq2,DMSO vs T4400
Zbtb11,Group,0.1587,0.403,1.16,0.2141,DESeq2,DMSO vs T4400
Zbtb11os1,Group,0.1393,0.3724,1.3256,0.4067,DESeq2,DMSO vs T4400
Zbtb12,Group,0.8204,0.9322,0.9878,-0.0177,DESeq2,DMSO vs T4400
Zbtb14,Group,0.2329,0.5046,0.9236,-0.1146,DESeq2,DMSO vs T4400
Zbtb17,Group,0.408,0.6746,0.9613,-0.057,DESeq2,DMSO vs T4400
Zbtb18,Group,0.9155,0.9675,0.9916,-0.0122,DESeq2,DMSO vs T4400
Zbtb2,Group,0.4529,0.7076,1.0536,0.0753,DESeq2,DMSO vs T4400
Zbtb20,Group,0.4753,0.7245,0.9258,-0.1112,DESeq2,DMSO vs T4400
Zbtb21,Group,0.0549,0.2122,1.1767,0.2348,DESeq2,DMSO vs T4400
Zbtb22,Group,0.5062,0.7463,1.04,0.0566,DESeq2,DMSO vs T4400
Zbtb24,Group,0.1141,0.331,1.0728,0.1014,DESeq2,DMSO vs T4400
Zbtb25,Group,0.0956,0.2982,1.1381,0.1867,DESeq2,DMSO vs T4400
Zbtb26,Group,0.3249,0.6037,1.1149,0.1569,DESeq2,DMSO vs T4400
Zbtb3,Group,0.3096,0.5875,0.9029,-0.1473,DESeq2,DMSO vs T4400
Zbtb32,Group,0.1489,0.3877,2.2732,1.1848,DESeq2,DMSO vs T4400
Zbtb33,Group,0.6814,0.8552,1.0505,0.0711,DESeq2,DMSO vs T4400
Zbtb34,Group,0.0227,0.1211,1.1311,0.1778,DESeq2,DMSO vs T4400
Zbtb37,Group,0.5403,0.7681,0.9291,-0.1062,DESeq2,DMSO vs T4400
Zbtb38,Group,0.2237,0.4934,1.1755,0.2333,DESeq2,DMSO vs T4400
Zbtb39,Group,0.9478,0.9774,1.0033,0.0048,DESeq2,DMSO vs T4400
Zbtb4,Group,0.0217,0.1177,1.1125,0.1538,DESeq2,DMSO vs T4400
Zbtb40,Group,0.0143,0.0896,1.18,0.2387,DESeq2,DMSO vs T4400
Zbtb41,Group,0.3163,0.5943,1.1585,0.2123,DESeq2,DMSO vs T4400
Zbtb42,Group,0.3709,0.6416,1.0616,0.0862,DESeq2,DMSO vs T4400
Zbtb43,Group,0.0067,0.0547,1.1216,0.1655,DESeq2,DMSO vs T4400
Zbtb44,Group,0.0088,0.0651,1.2391,0.3093,DESeq2,DMSO vs T4400
Zbtb45,Group,0.0021,0.0266,0.8027,-0.317,DESeq2,DMSO vs T4400
Zbtb46,Group,0.0808,0.2677,0.6405,-0.6428,DESeq2,DMSO vs T4400
Zbtb48,Group,0.591,0.8041,0.9607,-0.0579,DESeq2,DMSO vs T4400
Zbtb49,Group,0.3045,0.5834,1.0796,0.1105,DESeq2,DMSO vs T4400
Zbtb5,Group,0.2261,0.4964,0.9403,-0.0888,DESeq2,DMSO vs T4400
