feature,Estimate_group,pvalue,fdr,fold_change,log2FC,method,vs
Atp1a1,Group,0.0329,0.1537,0.907,-0.1407,DESeq2,DMSO vs T4400
Atp1a2,Group,0.8865,0.9563,0.9869,-0.0191,DESeq2,DMSO vs T4400
Atp1a3,Group,0.0019,0.0248,1.5469,0.6294,DESeq2,DMSO vs T4400
Atp1a4,Group,0.2055,0.47,2.7064,1.4364,DESeq2,DMSO vs T4400
Atp1b1,Group,0.0045,0.0429,0.6718,-0.5739,DESeq2,DMSO vs T4400
Atp1b2,Group,0.0843,0.2752,0.6833,-0.5493,DESeq2,DMSO vs T4400
Atp1b3,Group,0.7177,0.8758,0.9768,-0.0338,DESeq2,DMSO vs T4400
Atp1b4,Group,0.4493,0.7047,0.4216,-1.2459,DESeq2,DMSO vs T4400
Atp2a1,Group,0.1408,0.3747,0.8651,-0.2091,DESeq2,DMSO vs T4400
Atp2a2,Group,0.2067,0.4715,1.0707,0.0985,DESeq2,DMSO vs T4400
Atp2a3,Group,0.1686,0.418,1.219,0.2856,DESeq2,DMSO vs T4400
Atp2b1,Group,0.0248,0.1279,1.3598,0.4434,DESeq2,DMSO vs T4400
Atp2b3,Group,0.1607,0.4058,3.8897,1.9597,DESeq2,DMSO vs T4400
Atp2b4,Group,0.0027,0.0309,0.6947,-0.5255,DESeq2,DMSO vs T4400
Atp2c1,Group,0.0009,0.016,1.2228,0.2902,DESeq2,DMSO vs T4400
Atp2c2,Group,0.5399,0.768,1.5526,0.6346,DESeq2,DMSO vs T4400
Atp5a1,Group,0.0004,0.0091,0.8238,-0.2796,DESeq2,DMSO vs T4400
Atp5b,Group,0.0001,0.0052,0.8125,-0.2996,DESeq2,DMSO vs T4400
Atp5c1,Group,0.0014,0.0209,0.8673,-0.2054,DESeq2,DMSO vs T4400
Atp5d,Group,0.0003,0.0078,0.8438,-0.245,DESeq2,DMSO vs T4400
Atp5e,Group,0.0117,0.0784,0.8728,-0.1963,DESeq2,DMSO vs T4400
Atp5f1,Group,0.0065,0.0533,0.8473,-0.239,DESeq2,DMSO vs T4400
Atp5g1,Group,0,0.0018,0.8134,-0.2979,DESeq2,DMSO vs T4400
Atp5g2,Group,0.0015,0.022,0.8484,-0.2372,DESeq2,DMSO vs T4400
Atp5g3,Group,0,0.0027,0.8168,-0.2919,DESeq2,DMSO vs T4400
Atp5h,Group,0.0118,0.079,0.8857,-0.1751,DESeq2,DMSO vs T4400
Atp5j,Group,0.009,0.066,0.8677,-0.2047,DESeq2,DMSO vs T4400
Atp5j2,Group,0.002,0.0259,0.8411,-0.2497,DESeq2,DMSO vs T4400
Atp5k,Group,0.0006,0.0125,0.7581,-0.3996,DESeq2,DMSO vs T4400
