"PCo1","PCo2","sample","Group"
0.0560778903287802,0.0810839877173611,"K_XYL_F_0011_01","UC_before"
0.203482681213755,0.0224920872281486,"K_XYL_F_0011_02","UC_after"
0.177818808826368,0.0613938482631978,"K_XYL_F_0012_01","UC_before"
0.0655371493692957,-0.46945825379661,"K_XYL_F_0012_02","UC_after"
-0.3901176449637,0.0162372446353359,"K_XYL_F_0013_01","UC_before"
0.0704001013784296,-0.361333779846243,"K_XYL_F_0013_02","UC_after"
0.145702481663063,0.107494464459561,"K_XYL_F_0017_01","UC_before"
-0.110300900198527,0.12506286382039,"K_XYL_F_0017_02","UC_after"
0.106990724242572,-0.0456338795959114,"K_XYL_F_0018_01","UC_before"
-0.0358482524468304,0.145021625953615,"K_XYL_F_0018_02","UC_after"
0.225881352616791,0.108937813748744,"K_XYL_F_0022_01","UC_before"
0.037890460755838,-0.473482668852532,"K_XYL_F_0022_02","UC_after"
0.0583233581510044,0.0191249272634154,"K_XYL_F_0028_01","UC_before"
0.24029513750045,0.109139723521142,"K_XYL_F_0028_02","UC_after"
0.0345833791446017,-0.116736305937205,"K_XYL_F_0030_02","UC_after"
0.318192773397486,0.148619815863195,"K_XYL_F_0030_03","UC_before"
0.287844056364775,-0.0543700295011709,"K_XYL_F_0033_01","UC_before"
0.245153592490827,-0.0818927327324016,"K_XYL_F_0033_02","UC_after"
0.154329099611831,0.0375193760826423,"K_XYL_F_0035_01","UC_before"
-0.0706019061102472,0.0549416106397586,"K_XYL_F_0035_02","UC_after"
0.0330115190671334,0.0246601315684391,"K_XYL_F_0036_01","UC_before"
0.236552764372264,0.0616209164724588,"K_XYL_F_0036_02","UC_after"
0.023238570590387,-0.542151958282452,"K_XYL_F_0037_01","UC_before"
0.0746281233784023,-0.490969035137469,"K_XYL_F_0037_02","UC_after"
0.060632779481748,0.153351819268743,"K_XYL_F_0038_01","UC_before"
0.248510814684062,0.108692709180228,"K_XYL_F_0038_02","UC_after"
0.143218527735564,0.105021535110092,"K_XYL_F_0039_01","UC_before"
-0.445345863479829,0.0353141721554291,"K_XYL_F_0039_02","UC_after"
0.150573271946907,-0.303181917453331,"K_XYL_F_0042_01","UC_before"
0.0962151216653034,-0.415361112849557,"K_XYL_F_0042_02","UC_after"
0.220894826196324,0.0984604588448143,"K_XYL_F_0043_01","UC_before"
0.305289501485553,0.119733162749854,"K_XYL_F_0043_02","UC_after"
0.286257965011485,0.0928464546609269,"K_XYL_F_0044_01","UC_before"
0.28018990200652,0.0774419394655659,"K_XYL_F_0044_02","UC_after"
0.0208513822863258,-0.180591312654066,"K_XYL_F_0045_01","UC_before"
0.163567309630794,0.0530168421392104,"K_XYL_F_0045_02","UC_after"
0.022419161468752,-0.227674949456653,"K_XYL_F_0046_01","UC_before"
0.152178511878476,0.0745536270579524,"K_XYL_F_0046_02","UC_after"
0.137705014336058,0.0605679738732061,"K_XYL_F_0047_01","UC_before"
0.102346801965698,0.0729120941927688,"K_XYL_F_0047_02","UC_after"
-0.166580147284367,-0.157810610985742,"K_XYL_F_0048_01","UC_before"
-0.0211173763593432,0.0886286496286135,"K_XYL_F_0048_02","UC_after"
